nsentry16_2016_02_24__05h00m00s

Time (Date hh:mm:ss.ms)	 L-Max dB -A 	 LEQ dB -A 	 L-Min dB -A 	
2016/02/24 09:33:08.000	71.345110	69.844931	69.244840	
2016/02/24 09:33:09.000	69.344856	68.644736	68.244658	
2016/02/24 09:33:10.000	68.944790	68.144637	67.744550	
2016/02/24 09:33:11.000	68.044616	67.744550	67.344454	
2016/02/24 09:33:12.000	68.144637	67.544503	67.244428	
2016/02/24 09:33:13.000	67.344454	67.044376	66.644263	
2016/02/24 09:33:14.000	67.644527	67.244428	66.744292	
2016/02/24 09:33:15.000	68.344678	67.844572	67.344454	
2016/02/24 09:33:16.000	70.845058	69.444872	67.844572	
2016/02/24 09:33:17.000	74.645342	72.845237	70.645035	
2016/02/24 09:33:18.000	87.845535	84.545524	74.645342	
2016/02/24 09:33:19.000	89.445538	85.345528	79.845483	
2016/02/24 09:33:20.000	79.645481	76.545414	74.245322	
2016/02/24 09:33:21.000	78.645464	76.145401	74.045312	
2016/02/24 09:33:22.000	81.745505	79.545479	75.245368	
2016/02/24 09:33:23.000	75.045360	70.745046	69.044807	
2016/02/24 09:33:24.000	69.244840	68.144637	67.244428	
2016/02/24 09:33:25.000	67.044376	66.144106	65.844004	
2016/02/24 09:33:26.000	66.144106	65.143734	64.643513	
2016/02/24 09:33:27.000	65.143734	64.643513	64.143265	
2016/02/24 09:33:28.000	64.343368	63.843102	63.342804	
2016/02/24 09:33:29.000	63.743045	62.542249	62.041847	
2016/02/24 09:33:30.000	62.642324	62.242013	61.641490	
2016/02/24 09:33:31.000	63.042608	62.442172	61.941761	
2016/02/24 09:33:32.000	62.642324	62.442172	62.141931	
2016/02/24 09:33:33.000	62.642324	62.342094	62.041847	
2016/02/24 09:33:34.000	63.042608	62.642324	62.041847	
2016/02/24 09:33:35.000	64.243317	63.542927	62.542249	
2016/02/24 09:33:36.000	66.844321	65.844004	64.443417	
2016/02/24 09:33:37.000	73.945306	71.545130	66.944349	
2016/02/24 09:33:38.000	77.845448	76.245404	73.945306	
2016/02/24 09:33:39.000	73.945306	72.845237	72.445208	
2016/02/24 09:33:40.000	75.045360	74.145317	72.945244	
2016/02/24 09:33:41.000	72.945244	70.344998	68.844772	
2016/02/24 09:33:42.000	68.644736	67.744550	67.444479	
2016/02/24 09:33:43.000	71.845158	69.944945	67.844572	
2016/02/24 09:33:44.000	83.045515	79.145473	72.045175	
2016/02/24 09:33:45.000	83.845520	81.345501	75.945394	
2016/02/24 09:33:46.000	75.645383	71.245100	69.044807	
2016/02/24 09:33:47.000	69.144824	67.044376	65.844004	
2016/02/24 09:33:48.000	66.544233	66.244139	65.643931	
2016/02/24 09:33:49.000	66.244139	65.643931	65.243775	
2016/02/24 09:33:50.000	65.743968	65.443855	65.143734	
2016/02/24 09:33:51.000	65.343816	64.943649	64.343368	
2016/02/24 09:33:52.000	64.743559	64.343368	63.843102	
2016/02/24 09:33:53.000	64.943649	64.443417	64.043212	
2016/02/24 09:33:54.000	65.343816	64.943649	64.243317	
2016/02/24 09:33:55.000	65.143734	64.843604	64.643513	
2016/02/24 09:33:56.000	66.444203	65.643931	64.943649	
2016/02/24 09:33:57.000	70.344998	68.844772	66.544233	
2016/02/24 09:33:58.000	77.045428	74.845351	70.244985	
2016/02/24 09:33:59.000	83.045515	81.845506	77.145431	
2016/02/24 09:34:00.000	84.745525	82.845514	79.345476	
2016/02/24 09:34:01.000	79.145473	76.045398	74.845351	
2016/02/24 09:34:02.000	80.845496	79.545479	77.345436	
2016/02/24 09:34:03.000	82.645513	80.945497	77.845448	
2016/02/24 09:34:04.000	82.045508	78.145454	76.045398	
2016/02/24 09:34:05.000	77.045428	76.745420	75.945394	
2016/02/24 09:34:06.000	79.445478	78.545462	76.945425	
2016/02/24 09:34:07.000	79.545479	77.845448	76.845422	
2016/02/24 09:34:08.000	81.345501	79.645481	76.645417	
2016/02/24 09:34:09.000	76.245404	73.645289	72.945244	
2016/02/24 09:34:10.000	74.345327	73.645289	73.045251	
2016/02/24 09:34:11.000	81.245500	77.945450	73.945306	
2016/02/24 09:34:12.000	87.045533	85.445528	81.745505	
2016/02/24 09:34:13.000	82.345510	77.245433	75.345372	
2016/02/24 09:34:14.000	75.345372	74.745346	74.345327	
2016/02/24 09:34:15.000	79.945485	78.045452	74.745346	
2016/02/24 09:34:16.000	74.745346	73.745295	73.145258	
2016/02/24 09:34:17.000	83.545519	80.345490	74.645342	
2016/02/24 09:34:18.000	85.145527	81.445502	75.945394	
2016/02/24 09:34:19.000	75.845391	73.145258	72.045175	
2016/02/24 09:34:20.000	75.445376	74.245322	72.745230	
2016/02/24 09:34:21.000	79.145473	77.945450	75.045360	
2016/02/24 09:34:22.000	78.545462	76.345407	75.645383	
2016/02/24 09:34:23.000	79.345476	78.445460	76.245404	
2016/02/24 09:34:24.000	80.245489	78.745466	75.745387	
2016/02/24 09:34:25.000	75.545380	72.245192	70.044959	
2016/02/24 09:34:26.000	70.445010	69.944945	69.444872	
2016/02/24 09:34:27.000	70.344998	69.744917	69.344856	
2016/02/24 09:34:28.000	69.844931	69.444872	69.144824	
2016/02/24 09:34:29.000	69.544887	68.444698	67.844572	
2016/02/24 09:34:30.000	67.844572	66.844321	66.444203	
2016/02/24 09:34:31.000	66.844321	66.144106	65.743968	
2016/02/24 09:34:32.000	66.344171	65.844004	65.443855	
2016/02/24 09:34:33.000	66.244139	65.343816	64.243317	
2016/02/24 09:34:34.000	64.143265	63.342804	62.742397	
2016/02/24 09:34:35.000	63.442866	62.842469	62.141931	
2016/02/24 09:34:36.000	62.742397	62.041847	61.341200	
2016/02/24 09:34:37.000	61.841672	61.040889	60.540320	
2016/02/24 09:34:38.000	62.342094	61.941761	61.140995	
2016/02/24 09:34:39.000	62.342094	61.941761	61.641490	
2016/02/24 09:34:40.000	62.342094	61.941761	61.441299	
2016/02/24 09:34:41.000	63.042608	62.642324	62.141931	
2016/02/24 09:34:42.000	64.043212	63.743045	62.942539	
2016/02/24 09:34:43.000	64.943649	64.543466	63.943158	
2016/02/24 09:34:44.000	70.645035	68.344678	64.443417	
2016/02/24 09:34:45.000	70.845058	70.144972	69.144824	
2016/02/24 09:34:46.000	73.345271	72.545215	70.945069	
2016/02/24 09:34:47.000	77.145431	76.045398	73.245264	
2016/02/24 09:34:48.000	77.645443	76.345407	74.045312	
2016/02/24 09:34:49.000	75.445376	74.745346	73.845301	
2016/02/24 09:34:50.000	73.745295	72.945244	72.345200	
2016/02/24 09:34:51.000	74.945355	73.445277	72.245192	
2016/02/24 09:34:52.000	80.845496	79.245474	75.145364	
2016/02/24 09:34:53.000	79.145473	74.745346	72.945244	
2016/02/24 09:34:54.000	73.045251	71.345110	70.545023	
2016/02/24 09:34:55.000	71.945167	71.145090	70.344998	
2016/02/24 09:34:56.000	73.445277	72.845237	71.545130	
2016/02/24 09:34:57.000	73.445277	72.745230	71.845158	
2016/02/24 09:34:58.000	71.845158	71.445120	71.045079	
2016/02/24 09:34:59.000	73.645289	72.745230	71.345110	
2016/02/24 09:35:00.000	75.445376	74.545337	73.545283	
2016/02/24 09:35:01.000	73.545283	71.145090	69.844931	
2016/02/24 09:35:02.000	72.245192	71.445120	69.944945	
2016/02/24 09:35:03.000	73.245264	72.545215	71.845158	
